카테고리: 모든 카테고리,,,,,
,,,,,
주,bitcoin: (미국),Ethereum: (미국),Cardano: (미국),litecoin: (미국),XRP: (미국)
2019-12-15,6,<1,<1,<1,1
2019-12-22,6,<1,<1,<1,1
2019-12-29,6,<1,<1,<1,1
2020-01-05,7,<1,<1,<1,1
2020-01-12,7,1,<1,<1,1
2020-01-19,6,<1,<1,<1,1
2020-01-26,7,<1,<1,<1,1
2020-02-02,7,1,<1,<1,1
2020-02-09,9,1,<1,<1,1
2020-02-16,7,1,<1,<1,1
2020-02-23,8,1,<1,<1,1
2020-03-01,6,<1,<1,<1,1
2020-03-08,13,1,<1,<1,1
2020-03-15,12,1,<1,<1,1
2020-03-22,9,<1,<1,<1,1
2020-03-29,7,<1,<1,<1,1
2020-04-05,8,1,<1,<1,1
2020-04-12,8,1,<1,<1,1
2020-04-19,8,1,<1,<1,1
2020-04-26,10,1,<1,<1,1
2020-05-03,12,1,<1,<1,1
2020-05-10,14,1,<1,<1,1
2020-05-17,9,1,<1,<1,1
2020-05-24,8,1,<1,<1,1
2020-05-31,8,1,<1,<1,1
2020-06-07,7,1,<1,<1,1
2020-06-14,7,1,<1,<1,1
2020-06-21,7,1,<1,<1,1
2020-06-28,6,1,<1,<1,<1
2020-07-05,7,1,<1,<1,1
2020-07-12,8,1,<1,<1,1
2020-07-19,7,1,<1,<1,1
2020-07-26,12,2,<1,<1,1
2020-08-02,11,1,<1,<1,2
2020-08-09,9,1,<1,<1,1
2020-08-16,9,1,<1,<1,1
2020-08-23,7,1,<1,<1,1
2020-08-30,8,1,<1,<1,1
2020-09-06,7,1,<1,<1,1
2020-09-13,6,1,<1,<1,1
2020-09-20,6,1,<1,<1,1
2020-09-27,6,1,<1,<1,1
2020-10-04,6,1,<1,<1,1
2020-10-11,6,1,<1,<1,1
2020-10-18,10,1,<1,<1,1
2020-10-25,9,1,<1,<1,1
2020-11-01,10,1,<1,<1,1
2020-11-08,10,1,<1,<1,1
2020-11-15,16,2,<1,1,2
2020-11-22,19,3,<1,1,5
2020-11-29,16,2,<1,1,3
2020-12-06,12,1,<1,<1,2
2020-12-13,21,2,<1,1,2
2020-12-20,20,2,<1,1,5
2020-12-27,31,4,<1,1,4
2021-01-03,51,9,1,2,3
2021-01-10,50,7,<1,2,2
2021-01-17,32,5,1,1,2
2021-01-24,30,6,<1,1,3
2021-01-31,27,7,1,1,5
2021-02-07,44,9,2,2,3
2021-02-14,43,8,2,2,3
2021-02-21,45,8,3,2,2
2021-02-28,30,5,2,1,2
2021-03-07,30,6,2,1,2
2021-03-14,29,5,3,1,2
2021-03-21,27,4,2,1,2
