Date,BTC_price,volume,sentiment,F1,F2,F3,F4
2018-04-12,7760594.6,9.93731E+12,0.015754217,0.857166581,-0.52044251,-2.114419361,-2.028829086
2018-04-13,8815788.1,8.66334E+12,0.034705976,0.858733696,-0.723088238,-2.149889643,-1.929502623
2018-04-14,8786309.58,5.79243E+12,0.013811249,0.840424902,-0.741064773,-2.149612748,-2.064940542
2018-04-15,8925401.47,5.85163E+12,0.012371001,0.82211611,-0.759041308,-2.149335853,-2.200378462
2018-04-16,9302799.31,6.28324E+12,0.030414756,0.803807316,-0.777017843,-2.149058957,-2.17265515
2018-04-17,9006105.1,7.69979E+12,0.00333465,0.724749261,-0.921646222,-2.054076633,-2.507701256
2018-04-18,8864145.88,7.28587E+12,0.010362527,0.671168435,-0.932932764,-2.032417401,-2.835521758
2018-04-19,9103857.43,7.88091E+12,0.022181476,0.703708052,-0.934008216,-2.07565382,-2.5898117
2018-04-20,9246240.51,9.41498E+12,0.017949616,0.786876885,-0.839611002,-2.094238637,-2.668467459
2018-04-21,9873202.23,8.42244E+12,0.019427108,0.789889387,-0.83361781,-2.107527677,-2.801552759
2018-04-22,9958301.38,7.39743E+12,0.012526723,0.792901888,-0.827624617,-2.120816717,-2.934638059
2018-04-23,9812503.98,7.72691E+12,0.016279926,0.79591439,-0.821631424,-2.134105758,-2.516766326
2018-04-24,9968656.02,1.19151E+13,0.031726705,0.909421317,-0.635995996,-2.216909476,-3.77983328
2018-04-25,10824105.14,1.23662E+13,0.020431477,0.929212956,-0.601002691,-2.264951493,-3.102452953
2018-04-26,9893877.73,1.00091E+13,-0.001520592,0.801828497,-0.743711925,-2.139588105,-3.058618643
2018-04-27,10366193.26,8.44223E+12,0.006856001,0.767506566,-0.849576065,-2.160292711,-3.181383192
2018-04-28,9974156.41,8.70911E+12,-0.004347696,0.771692318,-0.850030068,-2.156923801,-3.316721447
2018-04-29,10428431.14,9.8779E+12,0.009718992,0.775878069,-0.850484072,-2.15355489,-3.452059702
2018-04-30,10517358.12,9.67809E+12,0.010976609,0.780063821,-0.850938076,-2.15018598,-3.123335268
2018-05-01,10322499.59,8.60595E+12,-0.00534512,0.757512351,-0.881590755,-2.115811584,-3.406403034
2018-05-02,10158626.52,8.43316E+12,0.005816475,0.806621803,-0.844549294,-2.10458892,-2.58705893
2018-05-03,10302973.64,1.1389E+13,0.02280389,0.85219852,-0.847115767,-2.059630533,-2.713274519
2018-05-04,10817934.64,9.1692E+12,0.020541065,0.804200866,-0.960410462,-2.017710902,-2.766027488
2018-05-05,10823268.31,8.53779E+12,0.022650886,0.798445454,-0.95917822,-1.995914366,-2.856252992
2018-05-06,10985087.45,8.05839E+12,0.007633877,0.792690043,-0.957945978,-1.974117831,-2.946478494
