Date,Price,Open,High,Low,Vol.,Change %
2020-05-22,"1,670","1,720","1,725","1,650",418.95K,-2.34%
2020-05-21,"1,710","1,755","1,755","1,705",326.60K,-1.16%
2020-05-20,"1,730","1,695","1,760","1,685",912.37K,2.98%
2020-05-19,"1,680","1,690","1,700","1,670",2.01K,1.51%
2020-05-18,"1,655","1,665","1,700","1,640",423.87K,-0.60%
2020-05-17,"1,665","1,665","1,665","1,665",-,0.00%
2020-05-15,"1,665","1,695","1,710","1,665",311.83K,-1.19%
2020-05-14,"1,685","1,690","1,710","1,670",0.61K,-0.59%
2020-05-13,"1,695","1,670","1,790","1,635",0.89K,0.00%
2020-05-12,"1,695","1,720","1,730","1,655",447.50K,-0.88%
2020-05-11,"1,710","1,755","1,780","1,700",407.50K,-1.72%
2020-05-10,"1,740","1,740","1,740","1,740",-,0.00%
2020-05-08,"1,740","1,755","1,780","1,735",647.64K,0.87%
2020-05-07,"1,725","1,690","1,765","1,675",1.22M,2.68%
2020-05-06,"1,680","1,685","1,695","1,665",428.93K,0.90%
2020-05-04,"1,665","1,675","1,710","1,655",455.97K,-0.89%
2020-05-03,"1,680","1,680","1,680","1,680",-,0.00%
2020-04-29,"1,680","1,680","1,740","1,680",773.94K,0.00%
2020-04-28,"1,680","1,700","1,710","1,645",917.35K,-0.30%
2020-04-27,"1,685","1,680","1,750","1,660",1.39M,4.01%
2020-04-24,"1,620","1,685","1,710","1,620",924.86K,-3.57%
2020-04-23,"1,680","1,690","1,720","1,670",733.39K,0.60%
2020-04-22,"1,670","1,605","1,690","1,590",923.99K,2.45%
2020-04-21,"1,630","1,665","1,700","1,525",1.66M,-3.55%
2020-04-20,"1,690","1,670","1,780","1,660",3.82M,0.30%
2020-04-19,"1,685","1,685","1,685","1,685",-,0.00%
2020-04-17,"1,685","1,590","1,725","1,565",3.30M,7.32%
2020-04-16,"1,570","1,535","1,575","1,490",495.75K,1.95%
2020-04-15,"1,540","1,540","1,540","1,540",-,0.00%
2020-04-14,"1,540","1,570","1,595","1,530",596.19K,0.00%
2020-04-13,"1,540","1,565","1,570","1,480",567.75K,-1.91%
2020-04-12,"1,570","1,570","1,570","1,570",-,0.00%
2020-04-10,"1,570","1,650","1,685","1,520",1.43M,-6.82%
2020-04-09,"1,685","1,560","1,685","1,535",2.02M,11.22%
2020-04-08,"1,515","1,515","1,555","1,470",961.45K,0.33%
2020-04-07,"1,510","1,505","1,540","1,480",1.40M,1.68%
2020-04-06,"1,485","1,410","1,535","1,380",2.08M,6.83%
2020-04-03,"1,390","1,375","1,430","1,365",701.87K,1.09%
2020-04-02,"1,375","1,420","1,440","1,340",787.10K,0.00%
2020-04-01,"1,375","1,395","1,455","1,350",1.45M,-1.08%
2020-03-31,"1,390","1,410","1,445","1,340",1.44M,1.46%
2020-03-30,"1,370","1,375","1,380","1,290",1.03M,6.20%
2020-03-29,"1,290","1,290","1,290","1,290",-,0.00%
2020-03-27,"1,290","1,360","1,385","1,225",1.60M,-1.53%
2020-03-26,"1,310","1,280","1,330","1,235",0.10K,7.38%
2020-03-25,"1,220","1,155","1,260","1,110",3.23M,11.93%
2020-03-24,"1,090","1,080","1,095","1,045",0.18K,7.39%
2020-03-23,"1,015","1,020","1,125",999,0.00K,-5.58%
2020-03-22,"1,075","1,075","1,075","1,075",-,0.00%
2020-03-20,"1,075","1,020","1,160","1,020",2.61M,6.44%
2020-03-19,"1,010","1,250","1,280",984,1.86M,-16.18%
2020-03-18,"1,205","1,405","1,430","1,205",3.01K,-13.31%
2020-03-17,"1,390","1,210","1,680","1,205",10.56M,7.34%
2020-03-16,"1,295","1,285","1,510","1,285",3.85M,1.17%
2020-03-15,"1,280","1,280","1,280","1,280",-,0.00%
2020-03-13,"1,280","1,335","1,370","1,180",1.48M,-13.22%
2020-03-12,"1,475","1,660","1,665","1,475",1.04M,-11.14%
2020-03-11,"1,660","1,755","1,810","1,645",1.06M,-4.60%
2020-03-10,"1,740","1,795","1,860","1,715",2.00M,-8.42%
2020-03-09,"1,900","1,815","1,920","1,740",3.18M,6.44%
2020-03-08,"1,785","1,785","1,785","1,785",-,0.00%
2020-03-06,"1,785","1,770","1,880","1,745",2.00M,0.56%
2020-03-05,"1,775","1,770","1,805","1,750",390.99K,1.72%
2020-03-04,"1,745","1,650","1,755","1,650",316.21K,3.87%
2020-03-03,"1,680","1,700","1,740","1,680",478.27K,0.60%
2020-03-02,"1,670","1,640","1,695","1,630",617.14K,2.45%
2020-03-01,"1,630","1,630","1,630","1,630",-,0.00%
2020-02-28,"1,630","1,695","1,985","1,620",4.46M,-4.40%
2020-02-27,"1,705","1,760","1,760","1,685",392.60K,-2.85%
2020-02-26,"1,755","1,720","1,765","1,715",156.46K,0.29%
2020-02-25,"1,750","1,685","1,775","1,685",425.50K,2.04%
2020-02-24,"1,715","1,800","1,805","1,715",369.26K,-5.77%
2020-02-21,"1,820","1,860","1,860","1,795",298.00K,-3.45%
2020-02-20,"1,885","1,910","1,925","1,860",215.42K,-1.57%
2020-02-19,"1,915","1,930","1,930","1,870",196.36K,0.00%
2020-02-18,"1,915","1,965","1,970","1,905",217.41K,-2.30%
2020-02-17,"1,960","1,960","1,975","1,945",118.42K,-0.51%
2020-02-14,"1,970","1,950","1,975","1,945",163.64K,1.03%
2020-02-13,"1,950","1,985","2,000","1,950",242.34K,-1.52%
2020-02-12,"1,980","1,985","1,990","1,970",189.98K,0.25%
2020-02-11,"1,975","1,940","1,975","1,935",209.23K,2.60%
2020-02-10,"1,925","1,950","1,965","1,925",255.13K,0.00%
2020-02-07,"1,925","1,935","1,940","1,895",281.18K,0.00%
2020-02-06,"1,925","1,910","1,930","1,900",162.02K,2.39%
2020-02-05,"1,880","1,885","1,900","1,860",228.37K,0.53%
2020-02-04,"1,870","1,855","1,910","1,855",187.49K,0.54%
2020-02-03,"1,860","1,845","1,870","1,795",582.89K,-0.53%
2020-02-02,"1,870","1,870","1,870","1,870",-,0.00%
2020-01-31,"1,870","1,960","1,990","1,860",396.88K,-4.35%
2020-01-30,"1,955","2,050","2,070","1,955",547.82K,-4.63%
2020-01-29,"2,050","2,000","2,095","1,985",827.77K,3.02%
2020-01-28,"1,990","1,995","2,015","1,945",338.03K,-3.16%
2020-01-23,"2,055","2,080","2,090","2,035",186.10K,-1.67%
2020-01-22,"2,090","2,085","2,100","2,060",228.97K,1.46%
2020-01-21,"2,060","2,085","2,130","2,030",357.33K,-1.44%
2020-01-20,"2,090","2,160","2,265","2,085",2.14M,-2.56%
2020-01-19,"2,145","2,145","2,145","2,145",-,0.00%
2020-01-17,"2,145","2,155","2,165","2,115",334.46K,0.70%
2020-01-16,"2,130","2,125","2,215","2,120",1.20M,0.95%
2020-01-15,"2,110","2,200","2,200","2,110",792.28K,-4.09%
2020-01-14,"2,200","2,160","2,200","2,120",912.36K,2.56%
2020-01-13,"2,145","2,175","2,190","2,135",911.95K,-0.23%
2020-01-10,"2,150","2,020","2,150","1,995",2.86M,8.04%
