날짜,시가*,고가,저가,종가**,거래량,시가총액
29-Mar-17,"\1,167,183.19","\1,177,280.95","\1,133,487.03","\1,160,365.86","\333,010,052,338","\18,849,142,481,744"
28-Mar-17,"\1,165,509.53","\1,187,903.09","\1,146,708.86","\1,168,377.14","\364,111,004,648","\18,977,262,364,951"
27-Mar-17,"\1,084,588.46","\1,167,540.31","\1,084,509.25","\1,166,837.37","\415,662,871,032","\18,949,992,773,510"
26-Mar-17,"\1,086,775.39","\1,124,650.16","\1,064,650.77","\1,078,641.39","\338,823,224,690","\17,515,855,189,859"
25-Mar-17,"\1,044,961.92","\1,088,723.49","\1,008,334.62","\1,085,396.27","\486,255,319,955","\17,623,321,081,294"
24-Mar-17,"\1,158,669.87","\1,160,923.74","\1,042,527.30","\1,046,055.42","\547,884,808,496","\16,982,800,340,449"
23-Mar-17,"\1,171,612.89","\1,180,494.37","\1,148,047.86","\1,158,826.09","\277,313,132,317","\18,811,093,604,107"
22-Mar-17,"\1,250,386.13","\1,250,386.13","\1,131,623.71","\1,170,597.50","\424,930,427,320","\19,000,011,137,993"
21-Mar-17,"\1,177,537.55","\1,252,372.23","\1,177,537.55","\1,250,263.41","\376,450,298,721","\20,290,586,699,621"
20-Mar-17,"\1,157,319.83","\1,186,095.55","\1,156,695.07","\1,176,276.73","\319,701,164,262","\19,087,751,009,249"
19-Mar-17,"\1,089,804.66","\1,193,772.04","\1,089,804.66","\1,156,761.95","\453,725,076,971","\18,769,098,971,758"
18-Mar-17,"\1,226,999.53","\1,243,044.28","\1,068,521.43","\1,086,555.56","\693,229,291,751","\17,627,761,357,042"
17-Mar-17,"\1,316,785.53","\1,316,785.53","\1,226,865.64","\1,227,602.08","\788,400,962,929","\19,913,608,951,970"
16-Mar-17,"\1,396,194.70","\1,403,614.58","\1,285,856.32","\1,325,321.19","\712,494,134,857","\21,496,227,509,621"
15-Mar-17,"\1,383,731.65","\1,396,507.14","\1,383,274.14","\1,394,275.61","\332,281,464,356","\22,611,978,623,663"
14-Mar-17,"\1,374,805.50","\1,388,920.00","\1,362,041.03","\1,383,553.09","\273,704,736,606","\22,435,609,683,856"
13-Mar-17,"\1,363,223.81","\1,380,618.61","\1,357,923.91","\1,374,537.72","\424,301,133,820","\22,286,736,007,726"
12-Mar-17,"\1,312,835.67","\1,369,025.76","\1,311,429.79","\1,362,777.48","\253,475,851,562","\22,093,552,835,629"
11-Mar-17,"\1,245,554.76","\1,332,038.00","\1,245,554.76","\1,311,954.17","\316,119,564,851","\21,267,073,000,301"
10-Mar-17,"\1,327,050.55","\1,417,550.52","\1,201,961.74","\1,246,001.10","\629,065,848,048","\20,195,622,433,092"
09-Mar-17,"\1,283,524.40","\1,336,088.25","\1,273,348.60","\1,326,079.83","\236,858,718,460","\21,491,029,461,736"
08-Mar-17,"\1,364,841.62","\1,374,805.50","\1,280,991.59","\1,283,133.91","\371,107,998,578","\20,792,655,088,528"
07-Mar-17,"\1,420,607.72","\1,423,218.72","\1,344,278.09","\1,365,187.58","\324,974,304,603","\22,119,860,589,891"
06-Mar-17,"\1,414,203.22","\1,423,720.76","\1,411,000.97","\1,420,183.72","\171,445,649,609","\23,008,255,240,119"
05-Mar-17,"\1,399,497.46","\1,414,002.46","\1,381,388.56","\1,413,812.73","\149,654,697,426","\22,902,529,159,884"
04-Mar-17,"\1,425,316.37","\1,427,514.40","\1,372,964.45","\1,400,457.01","\204,486,914,620","\22,683,551,833,537"
03-Mar-17,"\1,395,502.92","\1,428,529.78","\1,395,502.92","\1,422,593.82","\352,291,676,604","\23,039,796,202,255"
02-Mar-17,"\1,366,459.57","\1,408,245.05","\1,356,350.64","\1,395,837.71","\410,909,696,719","\22,603,846,734,945"
01-Mar-17,"\1,316,651.64","\1,364,027.14","\1,316,261.02","\1,364,027.14","\255,574,603,406","\22,086,036,840,253"
28-Feb-17,"\1,317,410.29","\1,331,390.90","\1,307,479.92","\1,316,573.46","\206,368,100,510","\21,315,291,988,834"
27-Feb-17,"\1,298,509.23","\1,318,816.17","\1,298,062.90","\1,316,573.46","\146,801,677,070","\21,312,773,383,636"
26-Feb-17,"\1,276,740.58","\1,302,626.36","\1,261,041.64","\1,300,093.54","\129,971,423,236","\21,043,672,433,202"
25-Feb-17,"\1,305,906.79","\1,310,860.73","\1,254,782.19","\1,276,260.74","\156,164,082,617","\20,655,004,398,936"
24-Feb-17,"\1,308,472.97","\1,339,357.51","\1,263,005.40","\1,309,555.37","\369,050,521,246","\21,191,141,549,893"
23-Feb-17,"\1,246,614.83","\1,312,835.67","\1,246,268.87","\1,301,789.53","\211,386,827,754","\21,062,857,478,768"
22-Feb-17,"\1,243,858.91","\1,255,674.86","\1,227,959.21","\1,246,804.42","\151,856,108,909","\20,170,849,081,937"
21-Feb-17,"\1,204,226.79","\1,246,592.49","\1,201,604.76","\1,244,416.79","\208,502,556,950","\20,130,089,616,048"
20-Feb-17,"\1,170,095.33","\1,205,576.82","\1,162,284.95","\1,205,007.77","\122,152,116,761","\19,490,519,033,521"
19-Feb-17,"\1,176,868.12","\1,179,155.50","\1,164,259.88","\1,169,180.46","\86,386,483,979","\18,908,834,083,043"
18-Feb-17,"\1,170,675.55","\1,183,942.05","\1,168,165.07","\1,176,488.80","\110,543,106,638","\19,025,043,044,648"
17-Feb-17,"\1,144,912.49","\1,175,094.08","\1,144,376.94","\1,167,328.24","\152,273,406,372","\18,874,720,160,816"
16-Feb-17,"\1,124,304.28","\1,153,001.81","\1,124,304.28","\1,146,385.24","\136,432,839,303","\18,533,926,544,536"
15-Feb-17,"\1,122,697.57","\1,125,632.04","\1,117,531.55","\1,124,114.55","\100,150,721,690","\18,171,775,114,994"
14-Feb-17,"\1,106,546.77","\1,128,611.13","\1,100,673.39","\1,120,845.35","\153,915,817,778","\18,116,980,208,433"
13-Feb-17,"\1,114,524.55","\1,118,111.70","\1,088,992.42","\1,105,327.29","\112,254,133,351","\17,863,814,966,324"
12-Feb-17,"\1,119,696.15","\1,121,079.69","\1,112,333.19","\1,114,854.84","\75,347,854,773","\18,015,524,068,478"
11-Feb-17,"\1,103,381.37","\1,126,134.08","\1,096,610.89","\1,120,733.80","\114,099,614,645","\18,108,564,387,062"
10-Feb-17,"\1,110,894.96","\1,114,546.88","\1,056,288.09","\1,103,131.44","\212,500,364,835","\17,822,232,079,820"
09-Feb-17,"\1,187,958.79","\1,215,060.86","\1,063,711.31","\1,109,501.34","\454,363,296,621","\17,923,092,214,673"
08-Feb-17,"\1,185,303.26","\1,203,880.83","\1,157,598.77","\1,186,140.08","\225,223,483,312","\19,158,638,811,944"
