날짜,종가,오픈,고가,저가,거래량,변동 %
2017년 10월 17일,"6,718","6,682","6,791","6,500",314.01K,0.54%
2017년 10월 16일,"6,682","7,091","7,191","6,454",603.02K,-16.37%
2017년 10월 15일,"7,990","7,990","7,990","7,990",1.24K,9.99%
2017년 10월 13일,"7,264","7,327","7,354","6,946",630.91K,1.79%
2017년 10월 12일,"7,136","6,818","7,318","6,718",959.32K,4.66%
2017년 10월 11일,"6,818","6,591","6,864","6,536",415.10K,3.16%
2017년 10월 10일,"6,609","6,773","6,873","6,582",309.88K,-10.20%
2017년 10월 09일,"7,360","7,360","7,360","7,360",1.13K,10.00%
2017년 09월 29일,"6,691","6,554","6,836","6,546",434.06K,1.38%
2017년 09월 28일,"6,600","6,391","6,654","6,318",589.11K,3.27%
2017년 09월 27일,"6,391","6,727","6,936","6,373",948.58K,-2.37%
2017년 09월 26일,"6,546","6,636","7,364","6,054",2.51M,-3.48%
2017년 09월 25일,"6,782","8,091","8,182","6,582",2.86M,-20.68%
2017년 09월 24일,"8,550","8,550","8,550","8,550",-,10.00%
2017년 09월 22일,"7,773","7,809","7,927","7,418",816.58K,-1.83%
2017년 09월 21일,"7,918","7,682","7,982","7,500",1.08M,3.94%
2017년 09월 20일,"7,618","7,582","8,000","7,354",1.50M,0.95%
2017년 09월 19일,"7,546","7,500","7,918","7,336",1.14M,-0.95%
2017년 09월 18일,"7,618","7,064","7,618","6,718",2.48M,0.77%
2017년 09월 17일,"7,560","7,560","7,560","7,560",10.58K,10.00%
2017년 09월 15일,"6,873","7,136","7,246","6,582",1.94M,-9.78%
2017년 09월 14일,"7,618","7,273","7,727","7,246",1.40M,2.82%
2017년 09월 13일,"7,409","8,054","8,209","7,273",2.14M,-9.75%
2017년 09월 12일,"8,209","8,446","8,446","7,991",985.85K,-1.31%
2017년 09월 11일,"8,318","8,418","8,536","7,864",2.02M,-10.56%
2017년 09월 10일,"9,300","9,300","9,300","9,300",22.16K,10.01%
2017년 09월 08일,"8,454","8,082","8,946","7,991",4.62M,1.64%
2017년 09월 07일,"8,318","9,273","9,318","8,254",3.00M,-10.73%
2017년 09월 06일,"9,318","8,973","9,454","8,836",3.34M,-4.20%
2017년 09월 05일,"9,727","10,454","10,864","9,091",7.19M,-10.84%
2017년 09월 04일,"10,909","10,091","11,273","9,091",7.22M,6.43%
2017년 09월 03일,"10,250","10,250","10,250","10,250",3.66K,10.00%
2017년 09월 01일,"9,318","8,518","9,318","8,209",4.56M,12.02%
2017년 08월 31일,"8,318","7,482","9,591","7,300",14.16M,122.35%
2017년 03월 23일,"3,741","3,668","4,014","3,668",830.15K,-0.85%
2017년 03월 22일,"3,773","4,146","4,173","3,482",3.35M,-11.70%
2017년 03월 21일,"4,273","4,304","4,441","4,236",363.81K,-1.77%
2017년 03월 20일,"4,350","4,464","4,518","4,291",387.35K,-3.72%
